Movie,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
12 Angry Men (1957).srt,0.9994443706850115,6.173964342144456e-05,6.172839926240626e-05,6.173934090997026e-05,6.173967763962886e-05,6.173663702257075e-05,6.173835503477854e-05,6.172839926240626e-05,6.174035088596e-05,6.173851154945468e-05
2001 A Space Odyssey (1968).srt,0.00015296975037908697,0.00015293543169632513,0.0001529052133248823,0.00015293730680499717,0.998623600163277,0.0001529313076745808,0.0001529345180473713,0.0001529052133248823,0.00015294575542970708,0.0001529353400410985
24 Hour Party People (2002).srt,5.152855452331526e-05,5.152820213534646e-05,5.151983782590644e-05,5.152824417392147e-05,5.153009835662016e-05,5.152588496548422e-05,0.9995362640439537,5.151983782590644e-05,5.15279905872225e-05,5.152730565275127e-05
"400 Blows, The (Les quatre cents coups) (1959).srt",0.00015726822392478717,0.0001572691542915916,0.00015723271709138165,0.0001572614372567875,0.00015726797582223231,0.00015727015995720784,0.0001572575039458947,0.00015723271709138165,0.9985846645266694,0.00015727558394922845
8 Mile (2002).srt,7.232151813044996e-05,0.9993491311206368,7.230658453729019e-05,7.23191621850878e-05,7.232234686627545e-05,7.232011670049905e-05,7.232221922146721e-05,7.230658453729019e-05,7.232053571884317e-05,7.232981146610748e-05
Alien (1979).srt,0.00014027686695162225,0.9987375812193687,0.00014025246283212457,0.00014026968648406604,0.00014028034044348767,0.00014026904787267796,0.0001402719397772564,0.00014025246283212457,0.00014026901397845443,0.00014027695945965072
Aliens (1986).srt,8.46993204380863e-05,0.7553220935940375,8.467401321338351e-05,8.469099525752133e-05,0.24400039364734466,8.46921507955783e-05,8.468983005437944e-05,8.467401321338351e-05,8.469587553080557e-05,8.46965601147544e-05
Amadeus (1984).srt,0.00011950698769126043,0.00011949323538611403,0.00011947432118126641,0.00011949781036419724,0.0001194944976992368,0.00011949424675081712,0.00011949553452212718,0.00011947432118126641,0.9989245744356673,0.00011949460955646093
American Beauty (1999).srt,0.00010835770129491889,0.00010835774237241886,0.00010834236684710606,0.00010835731935235186,0.00010835936354699032,0.9990248108635214,0.00010835683297238824,0.00010834236684710606,0.00010835907294045303,0.00010835637030490456
American History X (1998).srt,6.383150773135366e-05,6.383412638011732e-05,6.381621400824395e-05,6.382802678976148e-05,0.9994255399271108,6.383026552307276e-05,6.384118939497243e-05,6.381621400824395e-05,6.382908947351226e-05,6.38334395799567e-05
Anatomy of a Murder (1959).srt,0.9953367128262396,4.2344872161264263e-05,4.233700620049034e-05,0.004324534841193944,4.23474365323829e-05,4.23448608307217e-05,4.234688962844569e-05,4.233700620049034e-05,4.234811855039945e-05,4.234614246241653e-05
Apocalypse Now (1979).srt,0.0551337609083589,0.062474790851572794,7.331379155111275e-05,7.333685644861437e-05,0.5206978742817381,7.333370451203821e-05,0.006838737621538463,7.331379155111275e-05,0.01399171888308187,0.3405698193096469
"Avengers, The (2012).srt",8.49144637429638e-05,8.491256819760606e-05,8.488965333253013e-05,8.490980533275876e-05,0.8922272275526608,8.491225157601045e-05,8.491111804937415e-05,8.488965333253013e-05,8.491496264602859e-05,0.10709351797112941
Back to the Future (1985).srt,8.978910164486591e-05,8.97875395460528e-05,8.976661530945868e-05,8.978677987676133e-05,0.03666984049893836,8.978853259594298e-05,8.978408681189118e-05,8.976661530945868e-05,0.07129028548892259,0.8914114047410446
Back to the Future Part II (1989).srt,6.88836147326729e-05,6.888695021428496e-05,6.887052826079471e-05,6.88821885855165e-05,6.88844772234293e-05,6.888277448472999e-05,6.888399060966476e-05,6.887052826079471e-05,6.888525218779798e-05,0.9993800696954402
Back to the Future Part III (1990).srt,8.556574377537816e-05,8.555945139247457e-05,8.554320598377803e-05,8.556156017423353e-05,8.556050689216365e-05,8.55557342732175e-05,8.555824587377588e-05,8.554320598377803e-05,8.556379496298217e-05,0.9992299885506882
Batman Begins (2005).srt,0.13420828895803735,9.383367824996892e-05,9.380864203867116e-05,9.383057925149711e-05,0.3001106935314675,9.383110473146191e-05,9.383402031856477e-05,9.380864203867116e-05,0.5055875310618336,0.05953053978203256
"Beautiful Mind, A (2001).srt",9.348310923727802e-05,9.348052249109286e-05,9.345795246336363e-05,9.34791171408347e-05,0.9991587136854143,9.347422178984572e-05,9.347814272853369e-05,9.345795246336363e-05,9.349222273694794e-05,9.348307353441272e-05
Before Sunrise (1995).srt,9.80547120526558e-05,9.805276370500287e-05,9.803922032392844e-05,0.9991175371266183,9.805493660118315e-05,9.805330962478033e-05,9.805424803267417e-05,9.803922032392844e-05,9.806118176924849e-05,9.805328094820616e-05
Big Fish (2003).srt,9.854587256745014e-05,9.85399222024809e-05,9.852217472827695e-05,9.854301472659604e-05,9.854390420460685e-05,9.853787738766531e-05,9.853780148121109e-05,9.852217472827695e-05,0.9991131636243616,9.854363361178435e-05
