Sample_Name,Winner_annotation,Confidence,Number_annotations
12 Angry Men (1957).mp4_shot_3125_3145..mp4.mp4,Travelling_in,50.0,2
12 Angry Men (1957).mp4_shot_4073_4108..mp4.mp4,Static,50.0,2
2001 A Space Odyssey (1968).mp4_shot_4782_4789..mp4.mp4,Static,100.0,2
24 Hour Party People (2002).avi_shot_1972_1981..avi.mp4,Handled,100.0,2
24 Hour Party People (2002).avi_shot_2737_2743..avi.mp4,Handled,100.0,2
24 Hour Party People (2002).avi_shot_283_285..avi.mp4,None,50.0,2
24 Hour Party People (2002).avi_shot_3603_3613..avi.mp4,Handled,100.0,2
24 Hour Party People (2002).avi_shot_687_689..avi.mp4,None,50.0,2
24 Hour Party People (2002).avi_shot_873_879..avi.mp4,Panoramic,100.0,2
24 Hour Party People (2002).avi_shot_912_927..avi.mp4,Handled,50.0,2
400 Blows The (Les quatre cents coups) (1959).mkv_shot_3797_3810..mkv.mp4,Vertical_movement,100.0,2
400 Blows The (Les quatre cents coups) (1959).mkv_shot_3904_3909..mkv.mp4,Static,100.0,2
400 Blows The (Les quatre cents coups) (1959).mkv_shot_956_967..mkv.mp4,Static,50.0,2
8 Mile (2002).avi_shot_1887_1891..avi.mp4,Vertical_movement,100.0,2
8 Mile (2002).avi_shot_2043_2052..avi.mp4,Handled,100.0,2
8 Mile (2002).avi_shot_3475_3478..avi.mp4,Handled,100.0,2
8 Mile (2002).avi_shot_4002_4013..avi.mp4,Handled,100.0,2
8 Mile (2002).avi_shot_4134_4140..avi.mp4,Car_side_mirror,100.0,2
8 Mile (2002).avi_shot_5697_5705..avi.mp4,Handled,100.0,2
8 Mile (2002).avi_shot_973_981..avi.mp4,Handled,50.0,2
A Perfect World cd1.avi_shot_1600_1602..avi.mp4,None,50.0,2
A Perfect World cd1.avi_shot_2392_2396..avi.mp4,Car_side_mirror,50.0,2
A Perfect World cd1.avi_shot_2825_2829..avi.mp4,Car_side_mirror,50.0,2
A Perfect World cd1.avi_shot_3063_3067..avi.mp4,Panoramic,50.0,2
A Perfect World cd1.avi_shot_3182_3187..avi.mp4,Panoramic,100.0,2
A Perfect World cd1.avi_shot_3255_3259..avi.mp4,Static,100.0,2
A Perfect World cd1.avi_shot_3506_3509..avi.mp4,Panoramic,50.0,2
A Perfect World cd1.avi_shot_3549_3551..avi.mp4,Car_front_windshield,50.0,2
A Perfect World cd1.avi_shot_725_729..avi.mp4,Static,100.0,2
A Perfect World cd1.avi_shot_81_89..avi.mp4,None,100.0,2
A Perfect World cd1.avi_shot_951_956..avi.mp4,Panoramic,100.0,2
A Perfect World cd2.avi_shot_2392_2397..avi.mp4,Panoramic_lateral,100.0,2
A Perfect World cd2.avi_shot_2419_2421..avi.mp4,Handled,100.0,2
A Perfect World cd2.avi_shot_2440_2444..avi.mp4,Panoramic,100.0,2
A Perfect World cd2.avi_shot_2929_2934..avi.mp4,Panoramic,100.0,2
A Perfect World cd2.avi_shot_3063_3067..avi.mp4,Static,100.0,2
A Perfect World cd2.avi_shot_3084_3087..avi.mp4,Static,100.0,2
A Perfect World cd2.avi_shot_3565_3581..avi.mp4,None,100.0,2
A Perfect World cd2.avi_shot_809_813..avi.mp4,Panoramic,50.0,2
Absolute Power cd1.avi_shot_1084_1088..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_1250_1255..avi.mp4,Handled,50.0,2
Absolute Power cd1.avi_shot_1822_1826..avi.mp4,Handled,50.0,2
Absolute Power cd1.avi_shot_1993_2000..avi.mp4,Panoramic,100.0,2
Absolute Power cd1.avi_shot_2365_2371..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_2878_2889..avi.mp4,None,50.0,2
Absolute Power cd1.avi_shot_3082_3089..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_3091_3101..avi.mp4,None,50.0,2
Absolute Power cd1.avi_shot_3163_3168..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_3346_3354..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_528_540..avi.mp4,None,100.0,2
Absolute Power cd1.avi_shot_608_613..avi.mp4,Panoramic_360,50.0,2
Absolute Power cd2.avi_shot_1529_1532..avi.mp4,Panoramic,50.0,2
Absolute Power cd2.avi_shot_1900_1906..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_2254_2256..avi.mp4,Panoramic,100.0,2
Absolute Power cd2.avi_shot_2273_2284..avi.mp4,Aerial,100.0,2
Absolute Power cd2.avi_shot_232_243..avi.mp4,Zoom_in,100.0,2
Absolute Power cd2.avi_shot_2625_2632..avi.mp4,Static,50.0,2
Absolute Power cd2.avi_shot_3241_3245..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_439_442..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_750_765..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_994_1001..avi.mp4,Panoramic_360,50.0,2
Alice in Wonderland.mp4_shot_1051_1057..mp4.mp4,Tilt,50.0,2
Alice in Wonderland.mp4_shot_1406_1409..mp4.mp4,None,50.0,2
Alice in Wonderland.mp4_shot_1567_1571..mp4.mp4,None,50.0,2
Alice in Wonderland.mp4_shot_2033_2036..mp4.mp4,Panoramic,50.0,2
Alice in Wonderland.mp4_shot_2061_2063..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2169_2172..mp4.mp4,Panoramic,50.0,2
Alice in Wonderland.mp4_shot_2366_2368..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2505_2507..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2801_2803..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2859_2863..mp4.mp4,Tilt,50.0,2
Alice in Wonderland.mp4_shot_2916_2919..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3057_3060..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3219_3223..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3389_3394..mp4.mp4,None,50.0,2
Alice in Wonderland.mp4_shot_3417_3420..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_344_347..mp4.mp4,None,100.0,2
Alice in Wonderland.mp4_shot_3874_3876..mp4.mp4,None,100.0,2
Alice in Wonderland.mp4_shot_3881_3883..mp4.mp4,None,100.0,2
Alice in Wonderland.mp4_shot_4338_4345..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4454_4456..mp4.mp4,None,100.0,2
Alice in Wonderland.mp4_shot_4758_4761..mp4.mp4,Static,50.0,2
