Sample_Name,Winner_annotation,Confidence,Number_annotations
2001 A Space Odyssey (1968).mp4_shot_4605_4621..mp4.mp4,Static,100.0,3
2001 A Space Odyssey (1968).mp4_shot_4782_4789..mp4.mp4,Static,100.0,2
24 Hour Party People (2002).avi_shot_288_290..avi.mp4,Static,100.0,3
400 Blows The (Les quatre cents coups) (1959).mkv_shot_3904_3909..mkv.mp4,Static,100.0,2
A Perfect World cd1.avi_shot_3255_3259..avi.mp4,Static,100.0,2
A Perfect World cd1.avi_shot_725_729..avi.mp4,Static,100.0,2
A Perfect World cd2.avi_shot_3063_3067..avi.mp4,Static,100.0,2
A Perfect World cd2.avi_shot_3084_3087..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_1900_1906..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_3241_3245..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_439_442..avi.mp4,Static,100.0,2
Absolute Power cd2.avi_shot_750_765..avi.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2061_2063..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2366_2368..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2505_2507..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2801_2803..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_2916_2919..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3057_3060..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3219_3223..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_3384_3389..mp4.mp4,Static,100.0,3
Alice in Wonderland.mp4_shot_3417_3420..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4338_4345..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4793_4796..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4821_4826..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4967_4969..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_4969_4971..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_5219_5222..mp4.mp4,Static,100.0,2
Alice in Wonderland.mp4_shot_5949_5954..mp4.mp4,Static,100.0,2
Alien (1979).mp4_shot_2745_2758..mp4.mp4,Static,100.0,2
Aliens (1986).mp4_shot_1909_1919..mp4.mp4,Static,100.0,2
Aliens (1986).mp4_shot_2029_2037..mp4.mp4,Static,100.0,2
Aliens (1986).mp4_shot_5452_5463..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_2493_2502..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_2692_2698..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_2754_2759..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_6462_6469..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_655_666..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_6723_6730..mp4.mp4,Static,100.0,2
Amadeus (1984).mp4_shot_9435_9442..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_1036_1040..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_1157_1172..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_1502_1506..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_1644_1647..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_4553_4586..mp4.mp4,Static,100.0,2
American Beauty (1999).mp4_shot_5974_5982..mp4.mp4,Static,100.0,2
American History X (1998).avi_shot_1790_1796..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_1862_1869..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_2578_2586..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_3518_3528..avi.mp4,Static,100.0,2
